source,kind,format,spec,name,tags,creator,version,desc_len,personality_len,scenario_len,first_mes_len,system_prompt_len,phi_len,world_book,book_entries
.obsidian/core-plugins.json,unknown,json,,,,,,0,0,0,0,0,0,,0
.obsidian/workspace.json,unknown,json,,,,,,0,0,0,0,0,0,,0
20-Agent-Harness/01-协议/evidence-ledger.schema.json,unknown,json,,,,,,0,0,0,0,0,0,,0
20-Agent-Harness/01-协议/result.schema.json,unknown,json,,,,,,0,0,0,0,0,0,,0
20-Agent-Harness/01-协议/task-envelope.schema.json,unknown,json,,,,,,0,0,0,0,0,0,,0
20-Agent-Harness/01-协议/trace.schema.json,unknown,json,,,,,,0,0,0,0,0,0,,0
50-创意库/借书卡背面的情书/06-发布/毒舌学姐的借书卡背面，写满了我的名字-v1.0.0.json,card,json,chara_card_v2,毒舌学姐的借书卡背面，写满了我的名字,纯爱;校园;图书馆;毒舌;反差;暗恋;救赎;甜宠;双路线;攻略,猫妖,1.0.0,516,137,64,729,455,49,,3
50-创意库/借书卡背面的情书/06-发布/毒舌学姐的借书卡背面，写满了我的名字-v1.0.0.png,card,png,chara_card_v2,毒舌学姐的借书卡背面，写满了我的名字,纯爱;校园;图书馆;毒舌;反差;暗恋;救赎;甜宠;双路线;攻略,猫妖,1.0.0,516,137,64,729,455,49,,3
50-创意库/妄想天使-经纪人的特别演出/06-发布/妄想天使-经纪人的特别演出-v1.0.0.json,card,json,chara_card_v2,妄想天使：经纪人的特别演出,绝区零;妄想天使;虚拟偶像;群像;爱芮;千夏;南宫羽;同人;经纪人;新艾利都,猫妖,1.0.0,381,104,72,379,560,52,,6
50-创意库/妄想天使-经纪人的特别演出/06-发布/妄想天使-经纪人的特别演出-v1.0.0.png,card,png,chara_card_v2,妄想天使：经纪人的特别演出,绝区零;妄想天使;虚拟偶像;群像;爱芮;千夏;南宫羽;同人;经纪人;新艾利都,猫妖,1.0.0,381,104,72,379,560,52,,6
50-创意库/山河为聘/06-发布/萧衍·山河为聘-v1.1.0.json,card,json,chara_card_v2,萧衍·山河为聘,女性向;宫廷;古风;先婚后爱;言情;摄政王;和亲,@maoyaoyi 猫妖,1.1.0,951,40,101,374,0,0,山河为聘·世界书,7
50-创意库/山河为聘/06-发布/萧衍·山河为聘.json,card,json,chara_card_v2,萧衍·山河为聘,女性向;宫廷;古风;先婚后爱;言情;摄政王;和亲,@maoyaoyi 猫妖,1.0.0,951,40,101,374,0,0,山河为聘·世界书,7
50-创意库/玛尔恰娜-海洋进修/玛尔恰娜_同人卡.json,card,json,chara_card_v2,玛律恰娜：海洋研修,NIKKE;玛律恰娜;玛律恰那;海洋研修;泳装;教师;反差萌;夏日;企鹅救援队;同人,猫妖,1.5,863,63,63,398,442,45,,0
50-创意库/玛尔恰娜-海洋进修/玛尔恰娜_同人卡.png,card,png,chara_card_v2,玛律恰娜：海洋研修,NIKKE;玛律恰娜;玛律恰那;海洋研修;泳装;教师;反差萌;夏日;企鹅救援队;同人,猫妖,1.5,863,63,63,398,442,45,,0
50-创意库/素材库/世界书/世界书/BDSM道具 2025.5.5.json,worldbook,json,,,,,,0,0,0,0,0,0,,56
50-创意库/素材库/世界书/世界书/XP三册/XP三册/-【基本】XP兼特征兼行为兼规则兼世界观世界书·第一册.json,worldbook,json,,,,,,0,0,0,0,0,0,,110
50-创意库/素材库/世界书/世界书/XP三册/XP三册/-【基本】XP兼特征兼行为兼规则兼世界观世界书·第三册.json,worldbook,json,,,,,,0,0,0,0,0,0,,112
50-创意库/素材库/世界书/世界书/XP三册/XP三册/-【基本】XP兼特征兼行为兼规则兼世界观世界书·第二册.json,worldbook,json,,,,,,0,0,0,0,0,0,,107
50-创意库/素材库/世界书/世界书/文风/舞台剧文风.json,worldbook,json,,,,,,0,0,0,0,0,0,,4
50-创意库/素材库/世界书/世界书/文风/！百合文风.json,worldbook,json,,,,,,0,0,0,0,0,0,,5
50-创意库/素材库/世界书/世界书/文风/🦜文风·雨楼清歌.json,worldbook,json,,,,,,0,0,0,0,0,0,,1
50-创意库/素材库/世界书/世界书/百合情趣玩法V1.json,worldbook,json,,,,,,0,0,0,0,0,0,,36
50-创意库/素材库/定制/定制/猫妖/@abzdh123 哈哈哈哈 嗨嗨嗨 李倩/李倩.png,card,png,chara_card_v2,李倩,母子;空姐;足交;丝袜;定制;猫妖;李倩;SM,@maoyaoyi ( 猫妖 ),1.0,1307,0,0,941,0,0,李倩,1
50-创意库/素材库/定制/定制/真白/Allen weels 120rmb 美诱小姐/Allen weels 120rmb 美诱小姐.png,card,png,chara_card_v2,美诱小姐,,,,523,0,0,95,0,0,贡主语气,2
50-创意库/素材库/正则/正则/18g - 折叠思维链(二选一).json,unknown,json,,,,,,0,0,0,0,0,0,,0
50-创意库/素材库/正则/正则/18g - 隐藏多余内容(隐藏单引号、免责声明、沙盒报告、字数控制).json,unknown,json,,,,,,0,0,0,0,0,0,,0
50-创意库/素材库/正则/正则/18g - 隐藏思维链(二选一).json,unknown,json,,,,,,0,0,0,0,0,0,,0
50-创意库/素材库/正则/正则/删除多余内容.json,unknown,json,,,,,,0,0,0,0,0,0,,0
50-创意库/素材库/正则/正则/隐藏模型思维think.json,unknown,json,,,,,,0,0,0,0,0,0,,0
50-创意库/素材库/正则/正则/隐藏正文的thinking.json,unknown,json,,,,,,0,0,0,0,0,0,,0
50-创意库/素材库/破限预设/破限/18g - 百变助手2.0d.json,unknown,json,,,,,,0,0,0,0,0,0,,0
50-创意库/素材库/破限预设/破限/18g - 百变助手2.1h.json,unknown,json,,,,,,0,0,0,0,0,0,,0
50-创意库/素材库/破限预设/破限/18g - 百变助手快速回复.json,card,json,,18g - 百变助手,,,,0,0,0,0,0,0,,0
50-创意库/素材库/破限预设/破限/[主预设] V17.1 狐神抚 · 毓忻.json,unknown,json,,,,,,0,0,0,0,0,0,,0
50-创意库/素材库/破限预设/破限/mr鹿鹿预设 2.7.9.json,unknown,json,,,,,,0,0,0,0,0,0,,0
50-创意库/素材库/社区参考/卷狗？/旅程/-.png,card,png,chara_card_v3,原神-璃月,,,V2025.06.05,1428,0,0,2170,0,0,原神–璃月,21
50-创意库/素材库/社区参考/卷狗？/旅程/-_.png,card,png,chara_card_v3,林美芸 - 校霸妈妈,校霸妈妈;贵妇;P罩杯;巨乳;熟女;道歉;暗藏欲望;反差;支配欲;禁忌,龙傲天,2.0,310,892,439,365,1335,864,林美芸的世界设定集_v1,20
50-创意库/素材库/社区参考/卷狗？/旅程/-_1.png,card,png,chara_card_v3,所有男性全是绿帽癖的禁断职场世界 - 高桥留美子,绿帽癖世界;职场;女上司;OL;成熟女性;禁断;电话调情暗示;黑色丝袜;高桥留美子;R18,龙傲天,2.0,107,2287,492,328,1277,616,绿帽癖禁断职场_世界书,22
50-创意库/素材库/社区参考/卷狗？/旅程/0.6.png,card,png,chara_card_v3,世界调制模式·古代篇（0.6）,武侠;系统,龙使者德丽莎,0.6（普通版）,1407,0,2,667,0,0,世界调制模式·古代篇(测试),37
50-创意库/素材库/社区参考/卷狗？/旅程/1.png,card,png,chara_card_v3,《弥赛亚之吻》,,,,216,0,0,1050,0,0,《弥赛亚之吻》,11
50-创意库/素材库/社区参考/卷狗？/旅程/11163901fe4100f6.png,card,png,chara_card_v3,男性至高的媚男世界,男性至上;媚男世界;极端设定;社会实验;反乌托邦;R18,龙傲天,2.0,101,453,670,474,338,240,男性至高的媚男世界-核心设定集,25
50-创意库/素材库/社区参考/卷狗？/旅程/16aeb85ed9e7a959.png,card,png,chara_card_v3,杨晓彤,上海名媛;拜金;崇洋媚外;黑人崇拜;R18;性开放;侮辱;现代都市,龙傲天,2.0,29,1203,203,463,242,220,杨晓彤的世界设定,20
50-创意库/素材库/社区参考/卷狗？/旅程/2.png,card,png,chara_card_v3,淫乱百合情侣,,,,81,0,0,279,0,0,,0
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/0.8_1.png,card,png,chara_card_v3,[真飞鸟会梦见真番茄吗0.8],,,,377,0,0,1061,0,0,催眠堕落,81
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/1.2.png,card,png,chara_card_v3,催眠,,,,0,0,0,5088,0,0,催眠,14
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/1.png,card,png,chara_card_v3,媚华世界交换生,,,,2211,0,0,278,0,0,SNS状态,19
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/158280100e851999.png,card,png,chara_card_v3,黑逼家族,,,,2670,0,0,330,0,0,黑逼家庭,2
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/1760ef96fa8e493e.png,card,png,chara_card_v3,“生育”令使黄泉,,,,12714,0,0,1125,0,0,,0
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/2faa3c5c57f41c22.png,card,png,chara_card_v3,龙珠：变奏曲,,FlowerDuet,v1.0,95,0,0,3855,0,0,《龙珠：变奏曲》V1.0,41
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/378a43dfea046010.png,card,png,chara_card_v3,基友变姬友？在线等挺急的！,性别转换;幽默;情色;反差萌;互动故事;无绝望,AI 指南,2.0,487,407,154,1127,0,0,基友变姬友？在线等挺急的！'s Lorebook,8
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/3c76356d696a05e1.png,card,png,chara_card_v3,《衾温犹共芙蓉枕，梦冷已隔万重山。》,,,,216,0,0,2410,0,0,《衾温犹共芙蓉枕，梦冷已隔万重山。》,15
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/6.png,card,png,chara_card_v3,世界调制模式·重制版,,龙使者德丽莎,0.4(L),5446,0,0,1994,0,0,世界调制模式·重制版,11
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/65c81426bdb1a40d.png,card,png,chara_card_v3,恶堕模拟器,,,,576,0,0,0,0,0,❤️‍🔥恶堕模拟器,22
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/8725e3354dcff6e4.png,card,png,chara_card_v3,《铜雀春深锁二乔》,,,,216,0,0,969,0,0,《铜雀春深锁二乔》,6
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/9595c9ee2ca64aae.png,card,png,chara_card_v3,虹猫蓝兔,,,,0,0,0,7304,0,0,七侠,17
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/APP.png,card,png,chara_card_v3,催眠APP,,,,0,0,0,0,0,0,催眠APP,2
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/M.png,card,png,chara_card_v3,周楚涵 (傲娇抖M同桌),傲娇;大小姐;抖M;反差;校园;现代;R18;羞辱,龙傲天,10.0,265,913,187,1297,855,702,周楚涵的世界设定集,40
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/b43889bc1ccacd56.png,card,png,chara_card_v3,性处理义务化世界,,,,0,0,0,457,0,0,性处理义务化世界,10
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/emperor2.png,card,png,chara_card_v3,皇帝模拟器昏君版,,,,3921,0,0,6645,0,0,皇帝模拟器,2
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/f574c6abb102342f.png,card,png,chara_card_v3,万雌王姐姐,,,,0,0,0,3503,0,0,女同姐姐,6
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/sexytown_v1.01.png,card,png,chara_card_v3,绯月湾,,Fortis,,595,0,0,1834,0,0,绯月湾,23
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/v0.4.png,card,png,chara_card_v3,性癖大世界,,emo的lsp（超级无敌老色批）,0.4,502,0,0,278,0,0,X-性癖大世界,253
50-创意库/素材库/社区参考/卷狗？/旅程/20250611/v1.1.png,card,png,chara_card_v3,小猫咪与白月光,,emo的lsp,1.1,123,0,0,183,0,0,X-小猫咪与白月光,15
50-创意库/素材库/社区参考/卷狗？/旅程/20250630/1.png,card,png,chara_card_v3,好莱坞往事,,,,0,0,0,623,0,0,好莱坞往事,42
50-创意库/素材库/社区参考/卷狗？/旅程/20250630/135295.png,card,png,chara_card_v3,性-35病毒,,,,0,0,0,100,0,0,性-35病毒,10
50-创意库/素材库/社区参考/卷狗？/旅程/20250630/189904a3c9fb6d03.png,card,png,chara_card_v3,零犯罪率的世界,,,,1028,0,0,1524,0,0,------零犯罪率的世界,14
50-创意库/素材库/社区参考/卷狗？/旅程/20250630/2_1.png,card,png,chara_card_v3,满穗,,,,1098,0,0,1081,0,0,AA满穗状态栏,1
50-创意库/素材库/社区参考/卷狗？/旅程/20250630/3cf8860ca69557be.png,card,png,chara_card_v3,全球男性性功能退化而我却反向加强！？,,Mj,1.0,353,0,0,1571,0,0,全球男性性功能退化而我却反向加强,5
50-创意库/素材库/社区参考/卷狗？/旅程/20250630/79e039cc7f4e7aff.png,card,png,chara_card_v3,催眠眼镜,,,,1731,0,0,130,0,0,催眠眼镜系列,12
50-创意库/素材库/社区参考/卷狗？/旅程/20250717/0.2.png,card,png,chara_card_v3,人偶化程序,,,,480,0,0,295,0,0,人偶化的世界,2
50-创意库/素材库/社区参考/卷狗？/旅程/20250717/3.png,card,png,chara_card_v3,暴虐与色欲,,,,0,0,0,0,0,0,暴虐与色欲,22
50-创意库/素材库/社区参考/卷狗？/旅程/20250717/4.png,card,png,chara_card_v3,淫習村,,,,770,0,0,1791,0,0,淫習村,32
50-创意库/素材库/社区参考/卷狗？/旅程/20250717/app_7.png,card,png,chara_card_v2,家具app,系统;人体家具;常识修改,寒玉、龙使者,V4.2,3096,0,4,582,0,0,家具app-公众版,46
50-创意库/素材库/社区参考/卷狗？/旅程/20250818/3.0.png,card,png,chara_card_v3,曹贼模拟器,,,,784,0,0,7,0,0,_曹贼模拟器,49
